SteamId,Username,Time
76561198178190613,magical,41.6116981506348
76561198052077385,schmxrg,41.7030181884766
76561198082304391,[CTR]TheBamboozler,42.1689376831055
76561199147780037,An Actual g00se,42.2128944396973
76561198159073318,GuAlexItar,42.3689155578613
76561197991251753,[CTR]Mortishade,42.4513893127441
76561198438442547,palfly,42.7693519592285
76561199173536675,[CTR]OwlPlague,42.8748626708984
76561198021974488,NathWalt,43.0200271606445
76561198017668945,Striking Vyper,43.1335144042969
76561198000593151,Triton,43.2768173217773
76561198131756122,FINSTER83,43.8538551330566
76561199109206781,ping,44.3963394165039
76561199756332058,GoBigGoHotWheels,45.8628578186035
76561198144551155,Termite,48.85595703125
