SteamId,Username,Time
76561198149636594,Quickracer10,40.3447418212891
76561198050792757,justMaki,40.4381561279297
76561198877428244,Sterben,40.4633941650391
76561198851912263,Lexer,40.7151985168457
76561198253679880,PandaMane,40.7922439575195
76561198152852852,SadD0ge,40.8816986083984
76561198125435428,JobW,41.1923904418945
76561198258069505,daytime,41.278133392334
76561198049803270,Orthros,41.2837257385254
76561198067925412,AndMe17,41.3530044555664
76561198314320065,DeeDeeNaNaNa,41.3718719482422
76561198287320070,[KRS] Trλsh Sλlλd,41.4275550842285
76561199602234412,MetalCJ,41.4444427490234
76561198840040581,RadAbsRad,41.4582061767578
76561198428660617,BB_Benji,41.8668746948242
76561198046718407,kotosy,41.9910087585449
76561198083300332,K410K3N,42.0046081542969
76561197997929590,Gimpel,42.0477333068848
76561198027169155,DeiRex,42.088996887207
76561199842604096,Dartho Mas,42.128532409668
76561198076209946,maskeddog,42.2091903686523
76561197996376845,Arder,42.2661552429199
76561198299114586,gilgool,42.2898292541504
76561198256811489,Joe Beidl,42.5448837280273
76561199210216294,spaps,42.60595703125
76561199120472717,Mustang302,42.6165809631348
76561198008859132,Lazy_Echidna,42.6326103210449
76561198056113005,SixSixSevenSeven,42.6782989501953
76561199580052002,TheRockingSheep,42.7561912536621
76561198147823227,arty_bo,42.922290802002
76561198136572067,Tudge Boat,42.971321105957
76561197963702040,Chinpokomon,42.9858551025391
76561199186342067,PlusMicron,43.0113983154297
76561198116025320,CentimeterPeter,43.2235946655273
76561199017011713,nesquick7,43.2480049133301
76561198031026580,WotterBytes,43.2728652954102
76561198031919228,Akane,43.6432609558105
76561198846673916,Matic_D,43.7277984619141
76561199869518481,jdeshone,43.8636245727539
76561198102906572,lucanakin,43.9496574401855
76561198020803552,Sven,44.1437721252441
76561198074771805,Moudy,44.8187789916992
76561199793990443,Purplestar,45.0124778747559
76561199814934076,Milkaholic,45.0724487304688
76561198064750127,nilswa,45.1874847412109
76561198201628170,imagineaclevernamehere,45.644775390625
76561199347921777,Mima01a,46.3964767456055
76561199069264777,ravendhx,47.1485137939453
76561198347675277,FMCMEAPineapple,47.6269073486328
